kind,n,wavelengths_nm,coverage,d65_rel_power_vs_555
max_area,3,380 518 700,0.736084,214.959
pareto_0.92,3,444 518 632,0.712338,2.771
pareto_0.84,3,446 520 622,0.693118,2.375
pareto_0.72,3,448 522 614,0.665831,2.173
pareto_0.58,3,448 524 606,0.626324,2.030
pareto_0.42,3,446 514 568,0.423756,1.629
max_area,4,380 501 525 700,0.868155,160.689
pareto_0.92,4,444 497 518 632,0.821121,2.771
pareto_0.84,4,446 499 520 622,0.812569,2.375
pareto_0.72,4,448 522 568 614,0.693145,1.628
pareto_0.58,4,448 524 568 606,0.646901,1.627
pareto_0.42,4,446 514 568 699,0.798719,1.629
max_area,5,380 492 512 536 700,0.926057,78.641
pareto_0.92,5,444 497 518 567 632,0.867594,1.651
pareto_0.84,5,446 499 520 568 622,0.847857,1.628
pareto_0.72,5,448 500 522 568 614,0.823393,1.628
pareto_0.58,5,448 501 524 568 606,0.789143,1.627
pareto_0.42,5,446 495 514 568 699,0.884181,1.629
max_area,6,380 486 504 518 543 700,0.956040,65.001
pareto_0.92,6,444 497 518 567 632 699,0.897408,1.651
pareto_0.84,6,446 499 520 568 622 699,0.896258,1.628
pareto_0.72,6,448 500 522 568 614 699,0.893905,1.628
pareto_0.58,6,448 501 524 568 606 699,0.890914,1.627
pareto_0.42,6,446 495 514 531 568 699,0.928638,1.628
max_area,7,380 483 498 510 522 546 700,0.969618,58.339
pareto_0.92,7,444 497 518 535 567 632 699,0.922115,1.651
pareto_0.84,7,446 485 499 520 568 622 699,0.922883,1.628
pareto_0.72,7,448 485 500 522 568 614 699,0.922576,1.628
pareto_0.58,7,448 486 501 524 568 606 699,0.922421,1.627
pareto_0.42,7,446 482 495 514 531 568 699,0.945736,1.628
max_area,8,380 478 493 504 514 525 548 700,0.977564,50.338
pareto_0.92,8,444 483 497 518 535 567 632 699,0.944206,1.651
pareto_0.84,8,446 485 499 510 520 568 622 699,0.943864,1.628
pareto_0.72,8,448 485 500 511 522 568 614 699,0.946134,1.628
pareto_0.58,8,448 486 501 512 524 568 606 699,0.948378,1.627
pareto_0.42,8,446 482 495 505 514 531 568 699,0.960568,1.628
max_area,9,380 475 490 501 510 519 532 553 700,0.983062,42.064
pareto_0.92,9,444 483 497 508 518 535 567 632 699,0.965002,1.651
pareto_0.84,9,446 485 499 510 520 538 568 622 699,0.963392,1.627
pareto_0.72,9,380 448 485 500 511 522 568 614 699,0.961454,1.628
pareto_0.58,9,380 448 486 501 512 524 568 606 699,0.963697,1.627
pareto_0.42,9,380 446 482 495 505 514 531 568 699,0.973933,1.628
max_area,10,380 473 487 497 505 513 521 535 555 700,0.987133,37.765
pareto_0.92,10,380 444 483 497 508 518 535 567 632 699,0.976631,1.651
pareto_0.84,10,380 446 485 499 510 520 538 568 622 699,0.976757,1.627
pareto_0.72,10,380 448 485 500 511 522 539 568 614 699,0.976595,1.628
pareto_0.58,10,380 448 486 501 512 524 541 568 606 699,0.975612,1.627
pareto_0.42,10,380 446 482 495 505 514 521 531 568 699,0.980105,1.628
max_area,11,380 471 485 494 502 509 516 524 538 557 700,0.989721,33.364
pareto_0.92,11,380 444 471 483 497 508 518 535 567 632 699,0.979938,1.651
pareto_0.84,11,380 446 473 485 499 510 520 538 568 622 699,0.981058,1.627
pareto_0.72,11,380 448 473 485 500 511 522 539 568 614 699,0.980673,1.628
pareto_0.58,11,380 448 474 486 501 512 524 541 568 606 699,0.980375,1.627
pareto_0.42,11,380 446 482 495 505 514 521 531 546 568 699,0.985247,1.627
max_area,12,380 471 485 494 501 507 513 519 527 540 559 700,0.991513,30.347
pareto_0.92,12,380 444 471 483 497 508 518 524 535 567 632 699,0.983228,1.651
pareto_0.84,12,380 446 473 485 493 499 510 520 538 568 622 699,0.984153,1.627
pareto_0.72,12,380 448 473 485 493 500 511 522 539 568 614 699,0.984589,1.628
pareto_0.58,12,380 448 474 486 494 501 512 524 541 568 606 699,0.984530,1.627
pareto_0.42,12,380 446 471 482 495 505 514 521 531 546 568 699,0.987934,1.627
