n,choice,wavelengths_nm,coverage_pct,d65_rel_power_vs_555
3,pareto_0.72,448 522 614,66.58,2.17
4,pareto_0.42,446 514 568 699,79.87,1.63
5,pareto_0.42,446 495 514 568 699,88.42,1.63
6,pareto_0.42,446 495 514 531 568 699,92.86,1.63
7,pareto_0.42,446 482 495 514 531 568 699,94.57,1.63
8,pareto_0.42,446 482 495 505 514 531 568 699,96.06,1.63
9,pareto_0.42,380 446 482 495 505 514 531 568 699,97.39,1.63
10,pareto_0.42,380 446 482 495 505 514 521 531 568 699,98.01,1.63
11,pareto_0.42,380 446 482 495 505 514 521 531 546 568 699,98.52,1.63
12,pareto_0.42,380 446 471 482 495 505 514 521 531 546 568 699,98.79,1.63
